Achievement Follow-up Transactions,"24.4477881,54.3989806"
Al Bustan Medical Center LLC - Khalifa City A,"24.4065385,54.5998748"
Burjeel Medical Centre Barari,"24.0863566,55.8277736"
Dublin Health Services Management & Investment,"24.491583,54.3660563"
Lime Services,"25.1223901,55.3759872"
Medi team medical services,"25.1223898,55.3694211"
pakistan community school,"24.320928,54.5297653"
